"Title";"Released";"ContentRating";"IMBDRating";"RottenRating";"Genre";"Description";"NumOfSeasons";"StreamingPlatform"
"Modern Love";2019;18;8.0;77;"Comedy,Romance";"Over eight standalone episodes, the series explores love in its multitude of forms – including sexual, romantic, familial, platonic, and self love.Modern Love has one or more episodes streaming with subscription on Prime Video. It's a comedy and romance show with 8 episodes over 1 season. Modern Love is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (16,417 votes) and was well received by critics.";"1Season";"Prime Video"
"Episodes";2011;18;7.8;77;"Comedy,2011";"A British husband-and-wife comedy writing team travel to Hollywood to remake their successful British TV series, with disastrous results.Episodes featuring Matt LeBlanc and Stephen Mangan has one or more episodes streaming with subscription on Netflix, streaming on Showtime, streaming with subscription on fuboTV, and 4 others. It's a comedy show with 44 episodes over 5 seasons. Episodes is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (32,233 votes) and was well received by critics.";"5Seasons";"Netflix"
"Mrs. America";2020;18;7.9;77;"Biography,Drama";"The true story of the movement to ratify the Equal Rights Amendment, and the unexpected backlash led by a conservative woman named Phyllis Schlafly, aka “the sweetheart of the silent majority.”Mrs. America featuring Cate Blanchett and Rose Byrne has one or more episodes streaming with subscription on Hulu, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's a biography and drama show with 9 episodes over 1 season. Mrs. America is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (5,904 votes) and was very well received by critics.";"1Season";"Hulu"
"Aggretsuko";2018;16;8.0;77;"Animation,Anime";"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.Aggretsuko featuring Kaolip and Komegumi Koiwasaki has one or more episodes streaming with subscription on Netflix. It's an animation and anime show with 30 episodes over 3 seasons. Aggretsuko is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (4,412 votes) and was very well received by critics.";"3Seasons";"Netflix"
"Future Man";2017;18;7.7;77;"Action & Adventure,Comedy";"Josh Futturman, a janitor by day/world-ranked gamer by night, is tasked with preventing the extinction of humanity after mysterious visitors from the future proclaim him the key to defeating the imminent super-race invasion.Future Man featuring Josh Hutcherson and Eliza Coupe has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and comedy show with 34 episodes over 3 seasons. Future Man is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (20,283 votes) and was very well received by critics.";"3Seasons";"Hulu"
"Soul Eater";2008;16;7.8;77;"Action & Adventure,Anime";"At the Death Weapon Meister Academy, three teams must collect the souls of 99 evil humans and one witch.Soul Eater featuring Chiaki Omigawa and Kouki Uchiyama has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, streaming with subscription on Funimation, and 2 others. It's an action & adventure and animation show with 52 episodes over 2 seasons. Soul Eater is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (10,734 votes) and was very well received by critics.";"2 Seasons";"Netflix"
"Glee";2009;16;6.7;77;"Comedy,Drama";"In this musical comedy, optimistic high school teacher Will Schuester tries to refuel his own passion while reinventing the high school's glee club and challenging a group of outcasts to realize their star potential as they strive to outshine their singing competition while navigating the cruel halls of McKinley High.Glee featuring Matthew Morrison and Jane Lynch has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and drama show with 121 episodes over 6 seasons. Glee is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (134,193 votes) and was well received by critics.";"6Seasons";"Netflix"
"Malcolm in the Middle";2000;7;8.0;77;"Comedy,Family";"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.Malcolm in the Middle featuring Frankie Muniz and Jane Kaczmarek has one or more episodes streaming with subscription on Hulu, and free on IMDb TV. It's a comedy and family show with 151 episodes over 7 seasons. Malcolm in the Middle is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (114,203 votes).";"7 Seasons";"Hulu"
"DAVE";2020;18;8.4;77;"Comedy,2020";"A suburban neurotic man in his late 20s has convinced himself that he’s destined to be one of the best rappers of all time. Now he must convince his closest friends, because with their help, he might actually convince the world.DAVE featuring Lil Dicky and Taylor Misiak has one or more episodes streaming with subscription on Hulu, and available for purchase on VUDU. It's a comedy show with 10 episodes over 1 season. DAVE is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (7,975 votes) and was well received by critics.";"1Season";"Hulu"
"Sword Art Online";2012;16;7.6;77;"Action & Adventure,Anime";"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...Sword Art Online featuring Yoshitsugu Matsuoka and Haruka Tomatsu has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, streaming with subscription on Crunchyroll, and 3 others. It's an action & adventure and animation show with 140 episodes over 4 seasons. Sword Art Online has a new episode airing on September 19th, 2020 (PDT). It has a high IMDb audience rating of 7.6 (34,130 votes).";"4Seasons";"Hulu,Netflix"
"Into the Night";2020;18;7.1;77;"Drama,Science-Fiction";"When the sun suddenly starts killing everything in its path, passengers on an overnight flight from Brussels attempt to survive by any means necessary.Into the Night featuring Pauline Étienne and Laurent Capelluto has one or more episodes streaming with subscription on Netflix. It's a drama and fantasy show with 6 episodes over 1 season. Into the Night is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (17,952 votes) and was well received by critics.";"1 Season";"Netflix"
"Mirzapur";2018;18;8.5;77;"Action & Adventure,Crime";"The iron-fisted Akhandanand Tripathi is a millionaire carpet exporter and the mafia don of Mirzapur. His son, Munna, is an unworthy, power-hungry heir who will stop at nothing to inherit his father's legacy. An incident at a wedding procession forces him to cross paths with Ramakant Pandit, an upstanding lawyer, and his sons, Guddu and Bablu. It snowballs into a game of ambition, power and greed that threatens the fabric of this lawless city.Mirzapur featuring Ali Fazal and Vikrant Massey has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and crime show with 9 episodes over 1 season. Mirzapur is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (29,714 votes).";"1Season";"Prime Video"
"Top of the Lake";2013;18;7.5;77;"Crime,Drama";"A woman haunted by her past, Detective Robin Griffin, investigates complex and unsettling cases.Top of the Lake featuring Elisabeth Moss and David Dencik has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a crime and drama show with 13 episodes over 2 seasons. Top of the Lake is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (31,587 votes) and was well received by critics.";"2Seasons";"Hulu"
"Lost Girl";2010;16;7.7;77;"Crime,Drama";"The gorgeous and charismatic Bo is a supernatural being called a succubus who feeds on the energy of humans, sometimes with fatal results. Refusing to embrace her supernatural clan and its rigid hierarchy, Bo is a renegade who takes up the fight for the underdog while searching for the truth about her own mysterious origins.Lost Girl featuring Anna Silk and Zoie Palmer has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's an animation and crime show with 77 episodes over 5 seasons. Lost Girl is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (28,217 votes) and was well received by critics.";"5Seasons";"Netflix"
"Heartland";2007;7;8.4;77;"Drama,Family";"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?Heartland featuring Amber Marshall and Graham Wardle has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Dove Channel (Via Prime Video), and 8 others. It's a drama and family show with 214 episodes over 13 seasons. Heartland is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (8,616 votes) and was met with mixed reviews by critics.";"13Seasons";"Netflix,Prime Video"
"Better Off Ted";2009;7;8.2;77;"Comedy,Science-Fiction";"Better Off Ted focuses on the protagonist, Ted Crisp, a single father and the well-respected and beloved head of a research and development department at the fictional, soulless conglomerate of Veridian Dynamics.Better Off Ted featuring Jay Harrington and Portia de Rossi has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a Comedy and Science Fiction show with 26 episodes over 2 seasons. Better Off Ted is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (24,367 votes) and was very well received by critics.";"2Seasons";"Hulu"
"Tales from the Loop";2020;18;7.5;77;"Drama,Science-Fiction";"The story of the town and people who live above “The Loop,” a machine built to unlock and explore the mysteries of the universe – making things possible that were previously relegated only to science fiction.Tales from the Loop has one or more episodes streaming with subscription on Prime Video. It's a drama and fantasy show with 8 episodes over 1 season. Tales from the Loop is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (11,235 votes) and was well received by critics.";"1Season";"Prime Video"
"High Score";2020;16;7.4;77;"Documentary,History";"This docuseries traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life.High Score featuring Charles Martinet has one or more episodes streaming with subscription on Netflix. It's a documentary and history show with 6 episodes over 1 season. High Score is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (3,431 votes) and was well received by critics.";"1Season";"Netflix"
"The Magicians";2015;16;7.6;77;"Drama,Action & Adventure";"Brakebills University is a secret institution specializing in magic. There, amidst an unorthodox education of spellcasting, a group of twenty-something friends soon discover that a magical fantasy world they read about as children is all too real— and poses grave danger to humanity.The Magicians featuring Olivia Taylor Dudley and Arjun Gupta has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with Syfy, streaming with subscription on fuboTV, and 5 others. It's an action & adventure and drama show with 65 episodes over 5 seasons. The Magicians is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (41,721 votes).";"5Seasons";"Netflix"
"Key & Peele";2012;18;8.3;77;"Comedy,Action & Adventure";"Key & Peele is an American sketch comedy television show. It stars Keegan-Michael Key and Jordan Peele, both former cast members of MADtv. Each episode of the show consists of several pre-taped sketches starring the two actors, introduced by Key and Peele in front of a live studio audience.Key & Peele featuring Keegan-Michael Key and Jordan Peele has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), free on Comedy Central, and 7 others. It's an action & adventure and comedy show with 53 episodes over 5 seasons. Key & Peele is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (16,456 votes) and was very well received by critics.";"5Seasons";"Hulu"
"Outer Banks";2020;18;7.6;77;"Action & Adventure,Crime";"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.Outer Banks featuring Chase Stokes and Madelyn Cline has one or more episodes streaming with subscription on Netflix. It's an action & adventure and crime show with 10 episodes over 1 season. Outer Banks is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (15,466 votes) and was well received by critics.";"1Season";"Netflix"
"On My Block";2018;16;8.0;77;"Comedy,2018";"A coming of age comedy following a diverse group of teenage friends as they confront the challenges of growing up in gritty inner-city Los Angeles.On My Block featuring Jason Genao and Sierra Capri has one or more episodes streaming with subscription on Netflix. It's a comedy show with 28 episodes over 3 seasons. On My Block is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (9,746 votes) and was very well received by critics.";"3Seasons";"Netflix"
"Happy Endings";2011;16;7.7;77;"Comedy,LGBTQ";"A fresh and funny take on modern friendship and what one urban family will do to stay friends after the perfect couple who brought them all together break up on their wedding day. The failed wedding forces them all to question their life choices. Then there are Alex and Dave themselves, who strike a truce and must learn to live with the changes their breakup has brought.Happy Endings featuring Eliza Coupe and Elisha Cuthbert has one or more episodes streaming with subscription on Hulu, free on Sony Crackle, available for purchase on iTunes, and 5 others. It's a comedy and LGBTQ show with 57 episodes over 3 seasons. Happy Endings is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (33,815 votes) and was well received by critics.";"3 Seasons";"Hulu"
"In the Flesh";2013;18;8.0;77;"Drama,Horror";"Thousands of dead people have risen from their graves and nearly destroyed Britain. A cure has been found - but can the treated zombies be rehabilitated back into living society?In the Flesh featuring Luke Newberry and Marie Critchley has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a drama and horror show with 9 episodes over 2 seasons. In the Flesh is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (12,557 votes) and was very well received by critics.";"2 Seasons";"Hulu"
"Hollywood";2020;18;7.6;77;"Drama,History";"A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big — no matter the cost.Hollywood featuring Jeremy Pope and David Corenswet has one or more episodes streaming with subscription on Netflix. It's a drama and history show with 7 episodes over 1 season. Hollywood is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (25,493 votes) and was met with mixed reviews by critics.";"1Season";"Netflix"
"The Gifted";2017;16;7.4;77;"Drama,Action & Adventure";"A suburban couple's ordinary lives are rocked by the sudden discovery that their children possess mutant powers. Forced to go on the run from a hostile government, the family joins up with an underground network of mutants and must fight to survive.The Gifted featuring Stephen Moyer and Amy Acker has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 29 episodes over 2 seasons. The Gifted is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (30,288 votes) and was well received by critics.";"2Seasons";"Hulu"
"Sleepy Hollow";2013;16;7.4;77;"Drama,Fantasy";"Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.Sleepy Hollow featuring Tom Mison and Oona Yaffe has one or more episodes streaming with subscription on Hulu, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's an action & adventure and crime show with 63 episodes over 4 seasons. Sleepy Hollow is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (56,875 votes) and was well received by critics.";"4 Seasons";"Hulu"
"Damages";2007;18;8.1;77;"Crime,Drama";"Damages is an American legal thriller television series created by the writing and production trio of Daniel Zelman and brothers Glenn and Todd A. Kessler. The plot revolves around the brilliant, ruthless lawyer Patty Hewes and her protégée, recent law school graduate Ellen Parsons. Each season features a major case that Hewes and her firm take on, while also examining a chapter of the complicated relationship between Ellen and Patty. The first two seasons center around the law firm Hewes & Associates. Later seasons center more on Patty and Ellen's relationship as Ellen begins to distance herself from Hewes & Associates and begins an independent career.Damages featuring Glenn Close and Rose Byrne has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 60 episodes over 5 seasons. Damages is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (27,483 votes) and was very well received by critics.";"5Seasons";"Hulu"
"Mozart in the Jungle";2014;18;8.2;77;"Comedy,Drama";"In the tradition of Anthony Bourdain's 'Kitchen Confidential' and Gelsey Kirkland's 'Dancing on my Grave' comes an insider’s look into the secret world of classical musicians. From her debut recital at Carnegie Recital Hall to the Broadway pits of 'Les Miserables'and 'Miss Saigon,' Blair Tindall has played with some of the biggest names in classical music for twenty-five years. Now in 'Mozart in the Jungle,' Tindall exposes the scandalous rock and roll lifestyles of the musicians, conductors, and administrators who inhabit the insular world of classical music.Mozart in the Jungle featuring Gael García Bernal and Lola Kirke has one or more episodes streaming with subscription on Prime Video. It's a comedy and drama show with 40 episodes over 4 seasons. Mozart in the Jungle is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (22,038 votes) and was very well received by critics.";"4 Seasons";"Prime Video"
"Deutschland";2015;18;8.1;77;"Drama,History";"A gripping coming-of-age story set against the real culture wars and political events of Germany in the 1980s. The drama follows Martin Rauch as the 24 year-old East Germany native is pulled from the world as he knows it and sent to the West as an undercover spy for the Stasi foreign service. Hiding in plain sight in the West German army, he must gather the secrets of NATO military strategy. Everything is new, nothing is quite what it seems and everyone he encounters is harboring secrets, both political and personal.Deutschland featuring Jonas Nay and Sonja Gerhardt has one or more episodes streaming with subscription on Hulu, streaming on Sundance Now, available for purchase on iTunes, and 3 others. It's an action & adventure and drama show with 19 episodes over 2 seasons. Deutschland is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (11,060 votes) and was very well received by critics.";"2Seasons";"Hulu"
"Chicago P.D.";2014;16;8.1;76;"Action & Adventure,Thriller";"A riveting police drama about the men and women of the Chicago Police Department's District 21 who put it all on the line to serve and protect their community. District 21 is made up of two distinctly different groups: the uniformed cops who patrol the beat and go head-to-head with the city's street crimes and the Intelligence Unit that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.Chicago P.D. featuring Jason Beghe and Tracy Spiridakos has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming via tv everywhere with Oxygen (Via Cable/Satellite Provider), and 9 others. It's an action & adventure and crime show with 151 episodes over 7 seasons. Chicago P.D. has a new episode airing on November 11th, 2020 (PST). It has a high IMDb audience rating of 8.1 (26,535 votes).";"7 Seasons";"Hulu,Prime Video"
"Case Closed";1996;16;8.4;76;"Action & Adventure,Anime";"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason.Case Closed featuring Minami Takayama and Kappei Yamaguchi has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, streaming with subscription on Crunchyroll, and 4 others. It's an action & adventure and animation show with 3,222 episodes over 29 seasons. Case Closed is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (10,399 votes).";"29 Seasons";"Hulu,Netflix"
"Stargate Atlantis";2004;7;8.1;76;"Action & Adventure,Science-Fiction";"With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins.Stargate Atlantis featuring Joe Flanigan and David Hewlett has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, available for purchase on iTunes, and 4 others. It's an action & adventure and drama show with 101 episodes over 5 seasons. Stargate Atlantis is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (60,065 votes).";"5Seasons";"Hulu,Prime Video"
"Horace and Pete";2016;18;8.5;76;"Comedy,Drama";"The owners of a dive bar in Brooklyn, Horace and Pete, along with bar regulars share their experiences and lives with each other while drinking or working at the bar.Horace and Pete featuring Louis C. K. and Steve Buscemi has one or more episodes streaming with subscription on Hulu. It's a comedy and drama show with 10 episodes over 1 season. Horace and Pete is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (14,534 votes) and was very well received by critics.";"1 Season";"Hulu"
"The Last Man on Earth";2015;16;7.3;76;"Comedy,Action & Adventure";"The year is 2022, and after an unlikely event, only one man is left on earth: Phil Miller, who used to be just an average guy who loved his family and hated his job at the bank. Now, in his RV, Phil searches the country for other survivors.The Last Man on Earth featuring Will Forte and Kristen Schaal has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), available for purchase on iTunes, and 6 others. It's an action & adventure and comedy show with 67 episodes over 4 seasons. The Last Man on Earth is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (51,765 votes) and was well received by critics.";"4Seasons";"Hulu"
"Rescue Me";2004;18;8.3;76;"Comedy,Drama";"Rescue Me revolves around the lives of the men in a New York City firehouse, the crew of 62 Truck. Examining the fraternal nature and relationships of firefighters, the series tackles the daily drama of the life-and-death situations associated with being a firefighter, while exploring the ways the men use dark humor to protect their true emotions.Rescue Me featuring Denis Leary and Adam Ferrara has one or more episodes streaming with subscription on Hulu, free on Sony Crackle, available for purchase on iTunes, and 5 others. It's an action & adventure and comedy show with 94 episodes over 7 seasons. Rescue Me is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (24,653 votes) and was very well received by critics.";"7 Seasons";"Hulu"
"Gavin & Stacey";2007;16;8.1;76;"Comedy,Romance";"Gavin is an ordinary boy from Billericay, Essex. Stacey is an ordinary girl from Barry Island, South Wales. They’ve spoken on the phone every day at work for months but they’ve never actually met… until now.Gavin & Stacey featuring Joanna Page and Mathew Horne has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Prime Video, streaming on BritBox, and 5 others. It's a comedy and drama show with 30 episodes over 4 seasons. Gavin & Stacey is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (16,148 votes) and was very well received by critics.";"4 Seasons";"Prime Video"
"Don't F**k with Cats: Hunting an Internet Killer";2019;18;8.1;76;"Crime,Documentary";"A group of online justice seekers track down a guy who posted a video of him killing kittens.Don't F**k with Cats: Hunting an Internet Killer featuring Deanna Thompson and John Green has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 3 episodes over 1 season. Don't F**k with Cats: Hunting an Internet Killer is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (32,312 votes) and was well received by critics.";"1Season";"Netflix"
"The Keepers";2017;16;8.1;76;"Documentary,Crime";"This docuseries examines the decades-old murder of Sister Catherine Cesnik and its suspected link to a priest accused of abuse.The Keepers has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 7 episodes over 1 season. The Keepers is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (17,129 votes) and was very well received by critics.";"1Season";"Netflix"
"The Midnight Gospel";2020;18;8.3;76;"Animation,Action & Adventure";"Traversing trippy worlds inside his universe simulator, Clancy the space caster explores existential questions about life, death and everything in between.The Midnight Gospel featuring Duncan Trussell and Phil Hendrie has one or more episodes streaming with subscription on Netflix. It's an action & adventure and animation show with 8 episodes over 1 season. The Midnight Gospel is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (9,610 votes) and was very well received by critics.";"1 Season";"Netflix"
"Space Force";2020;18;6.8;76;"Comedy,2020";"A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.Space Force featuring Steve Carell and John Malkovich has one or more episodes streaming with subscription on Netflix. It's a comedy show with 10 episodes over 1 season. Space Force is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.8 (39,529 votes) and was not well received by critics.";"1 Season";"Netflix"
"Away";2020;16;6.4;76;"Drama,Romance";"American astronaut Emma Green must leave her husband and teenage daughter behind to command an international space crew embarking upon a treacherous mission. A series about hope, humanity and how we need one another if we are to achieve impossible things.Away featuring Hilary Swank and Josh Charles has one or more episodes streaming with subscription on Netflix. It's a drama and fantasy show with 10 episodes over 1 season. Away is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.4 (7,473 votes) and was well received by critics.";"1Season";"Netflix"
"Waco";2018;18;7.9;76;"Crime,Cult";"The harrowing true story of the 1993 standoff between the FBI, ATF and the Branch Davidians, a spiritual sect led by David Koresh in Waco, TX that resulted in a deadly shootout and fire.Waco featuring Michael Shannon and Taylor Kitsch has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and cult show with 6 episodes over 1 season. Waco is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (16,121 votes) and was well received by critics.";"1Season";"Netflix"
"Living with Yourself";2019;18;7.2;76;"Comedy,Drama";"Burned out on life, Miles undergoes a strange procedure at a strip mall spa -- and wakes to find he's been replaced by a better version of himself.Living with Yourself featuring Paul Rudd and Aisling Bea has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 8 episodes over 1 season. Living with Yourself is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (23,451 votes) and was well received by critics.";"1Season";"Netflix"
"Dirty John";2018;16;7.2;76;"Crime,Drama";"This true crime anthology, based on the podcast of the same name, follows the terrifyingly true story of Orange County interior designer Debra Newell’s romance with John Meehan, a handsome and romantic charmer who sweeps Debra off her feet and pulls her into his web of lies.Dirty John featuring Amanda Peet and Christian Slater has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with USA (Via Cable/Satellite Provider), and streaming with subscription on fuboTV. It's a crime and drama show with 16 episodes over 2 seasons. Dirty John is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (14,178 votes) and was well received by critics.";"2Seasons";"Netflix"
"Invader ZIM";2001;7;8.3;76;"Animation,Children";"Invader Zim is an American animated television series created by Jhonen Vasquez. The show premiered on Nickelodeon on March 30, 2001. The series involves an extraterrestrial named Zim who originates from a planet called Irk, and his ongoing mission to conquer and destroy Earth. His various attempts to subjugate and destroy the human race are invariably undermined by some combination of his own ineptitude, his malfunctioning robot servant GIR, and a young paranormal investigator named Dib, one of the very few people attentive enough to be aware of Zim's identity. Invader Zim was targeted at children in their early teens, and met with critical acclaim, but after the first season, the show's ratings began to decline. Before the second season was completed, Nickelodeon cancelled the series, leaving at least twenty-three episodes and a planned television movie series finale unfinished. The show has maintained a cult following since the series' cancellation with a pilot, forty-six aired episodes, and about seventeen episodes that were in production around the time the series was cancelled. On August 19, 2006, all forty-six episodes have aired on television. Nineteen of the episodes are split into two individual stories, each lasting about twelve minutes. There are eight double-length episodes. All of the episodes were directed by Steve Ressel except for the pilot which was directed by Jordan Reichek.Invader ZIM featuring Andy Berman and Richard Steven Horvitz has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and animation show with 47 episodes over 2 seasons. Invader ZIM is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (19,168 votes) and was very well received by critics.";"2Seasons";"Hulu"
"Looking for Alaska";2019;18;8.1;76;"Drama,2019";"Teenager Miles enrolls in boarding school to try to gain a deeper perspective on life. After an unexpected tragedy, Miles and his friends try to make sense of what they have been through.Looking for Alaska featuring Charlie Plummer and Kristine Froseth has one or more episodes streaming with subscription on Hulu, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a drama show with 8 episodes over 1 season. Looking for Alaska is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (6,337 votes) and was very well received by critics.";"1Season";"Hulu"
"Galavant";2015;7;8.1;76;"Comedy,Fantasy";"Once upon a time, the dashing hero, Prince Galavant lost the love of his life, Madalena, to the evil King Richard. Now, our fallen hero is ready to take revenge and restore his “happily ever after.” But it won't be without a few twists and turns along the way in this fairytale musical.Galavant featuring Joshua Sasse and Timothy Omundson has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and comedy show with 18 episodes over 2 seasons. Galavant is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (13,990 votes) and was very well received by critics.";"2Seasons";"Netflix"
"Patriot";2015;18;8.3;76;"Comedy,Drama";"To prevent Iran from going nuclear, intelligence officer John Tavner must forgo all safety nets and assume a perilous 'non-official cover' -- that of a mid-level employee at a Midwestern industrial piping firm.Patriot featuring Michael Dorman and Terry O'Quinn has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and comedy show with 18 episodes over 2 seasons. Patriot is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (10,595 votes) and was very well received by critics.";"2 Seasons";"Prime Video"
